INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,latitude,longitude
206890929,12/31/19,23:15:00,MANHATTAN,28,0,HOTEL/MOTEL,TRUE,25-44,M,BLACK,25-44,M,BLACK,997155,230828,40.80024433,-73.95339009
206891917,12/31/19,20:14:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,1007235,179932,40.66052686,-73.91715617
206882664,12/30/19,21:29:00,BROOKLYN,71,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1000996,178614,40.65692324,-73.93964678
206875589,12/30/19,3:17:00,BROOKLYN,81,0,,FALSE,,,,18-24,M,BLACK,1006612,189509,40.68681517,-73.91936988
206875589,12/30/19,3:17:00,BROOKLYN,81,0,,FALSE,,,,45-64,M,BLACK HISPANIC,1006612,189509,40.68681517,-73.91936988
206874852,12/29/19,0:50:00,BROOKLYN,77,0,,FALSE,,,,18-24,M,BLACK,996128,184418,40.6728618,-73.95718143
206873688,12/28/19,19:51:00,BROOKLYN,75,0,,FALSE,,,,25-44,M,BLACK HISPANIC,1019355,188601,40.68428155,-73.87342672
206874854,12/28/19,17:53:00,STATEN ISLAND,121,0,,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,939602,167591,40.62657078,-74.16084528
206873686,12/28/19,4:20:00,MANHATTAN,23,0,,FALSE,,,,25-44,M,ASIAN / PACIFIC ISLANDER,1000900,228610,40.79415026,-73.93986909
206873687,12/27/19,23:27:00,BRONX,46,0,,TRUE,25-44,M,BLACK HISPANIC,18-24,M,BLACK,1010591,250447,40.85406303,-73.90478382
206873499,12/27/19,22:40:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,1053272,196881,40.70680864,-73.75105111
206873498,12/27/19,10:11:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,1009872,182963,40.66883905,-73.90764007
206847122,12/26/19,4:25:00,QUEENS,114,0,,FALSE,,,,25-44,M,BLACK,1005336,213624,40.75300815,-73.92389526
206843560,12/25/19,22:50:00,BRONX,41,0,,FALSE,,,,18-24,M,BLACK HISPANIC,1013775,238190,40.82041106,-73.89332824
206843561,12/25/19,2:40:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,996904,173082,40.64174589,-73.95440523
206843363,12/25/19,0:19:00,BROOKLYN,90,1,,FALSE,,,,25-44,M,WHITE HISPANIC,998704,195811,40.70412914,-73.94787055
