datetime,city,state,duration (seconds),latitude,longitude
5/4/10 21:55,telford,pa,120,40.3219444,-75.3283333
8/14/13 20:20,seminary,ms,300,31.5622222,-89.4975
9/1/76 23:00,ahwahnee,ca,120,37.3655556,-119.7252778
9/2/12 9:00,huntley,il,8,42.1680556,-88.4280556
9/10/03 21:30,soap lake,wa,7200,47.3894444,-119.4894444
9/19/11 20:30,kennewick,wa,300,46.2113889,-119.1361111
11/25/09 18:00,sacramento,ca,300,38.5816667,-121.4933333
4/18/10 20:00,new lenox,il,3600,41.5119444,-87.9655556
9/28/13 22:30,keansburg,nj,1800,40.4416667,-74.1302778
5/15/02 22:00,forty fort,pa,420,41.2788889,-75.8786111
9/22/12 19:10,mesa,az,600,33.4222222,-111.8219444
11/19/76 23:00,sierra vista,az,300,31.5544444,-110.3030556
5/1/76 22:00,lakewood,co,420,39.7047222,-105.0808333
1/13/05 21:20,downers grove,il,10,41.8088889,-88.0111111
12/14/09 20:30,new york city (manhattan),ny,10,40.7141667,-74.0063889
6/12/13 23:35,kalispell,mt,900,48.1958333,-114.3119444
11/27/88 1:30,el dorado hills,ca,600,38.6858333,-121.0811111
7/7/07 0:00,irvine,ca,600,33.6694444,-117.8222222
7/24/08 22:15,goshen,in,900,41.5822222,-85.8344444
7/30/03 7:52,las vegas,nv,300,36.175,-115.1363889
7/2/12 23:45,elmira,ny,120,42.0897222,-76.8080556
6/15/99 15:00,noblesville,in,120,40.0455556,-86.0086111
9/6/02 5:15,columbus,oh,120,39.9611111,-82.9988889
10/6/98 20:45,cream ridge,nj,16,40.135,-74.5244444
3/8/07 23:00,estacada,or,8,45.2897222,-122.3325
6/1/66 17:30,grandview,mo,900,38.8858333,-94.5327778
12/12/05 23:00,evanston,wy,240,41.2683333,-110.9625
7/3/97 22:30,lexington,ky,120,37.9886111,-84.4777778
7/7/00 21:00,los angeles,ca,120,34.0522222,-118.2427778
1/12/11 14:30,smithfield,va,60,36.9822222,-76.6313889
7/15/08 16:00,twin falls,id,120,42.5630556,-114.46
6/25/02 21:10,noblesville,in,2700,40.0455556,-86.0086111
12/8/05 19:30,crawfordville,fl,5,30.1758333,-84.3752778
12/31/11 19:25,kenosha,wi,3,42.5847222,-87.8211111
5/28/04 19:30,mohawk,ny,120,43.0113889,-75.0044444
2/10/06 19:30,north hudson,ny,30,43.9525,-73.7288889
1/24/13 16:10,port charlotte,fl,600,26.9758333,-82.0908333
9/28/00 1:00,vermilion,oh,30,41.4219444,-82.3647222
11/4/12 20:45,woodstock,ga,600,34.1013889,-84.5194444
7/4/03 4:05,chico,ca,90,39.7286111,-121.8363889
8/31/81 19:30,trona,ca,300,35.7627778,-117.3719444
11/3/04 20:15,chalybeate springs,al,300,34.565,-87.2266667
4/10/08 21:45,hague,ny,2700,43.7452778,-73.4988889
7/20/07 20:30,peekskill,ny,1200,41.29,-73.9208333
2/4/12 21:00,cortland,oh,240,41.3302778,-80.7255556
39851,newark,oh,7200,40.0580556,-82.4013889
8/30/03 14:00,columbus,oh,900,39.9611111,-82.9988889
12/10/07 19:00,albany (near),ny,2400,42.6525,-73.7566667
4/14/10 21:59,remington (near),in,7,40.7608333,-87.1508333
7/5/09 10:00,lenexa,ks,120,38.9536111,-94.7333333
12/3/08 0:00,durham,nc,900,35.9938889,-78.8988889
8/17/97 22:30,sioux city,ia,10,42.5,-96.4
34789,honolulu,hi,0,21.3069444,-157.8583333
9/15/08 5:30,eureka,mt,3600,48.88,-115.0525
11/15/02 22:10,grand rapids,mi,0,42.9633333,-85.6680556
4/6/09 1:02,pensacola,fl,30,30.4211111,-87.2169444
12/12/09 18:05,francestown,nh,5,42.9875,-71.8130556
6/1/85 22:00,snohomish,wa,3600,47.9130556,-122.0969444
4/8/10 20:49,dripping springs,tx,45,30.19,-98.0863889
9/10/04 22:45,vine grove,ky,1800,37.81,-85.9813889
10/27/10 22:00,boiling springs,sc,30,35.0463889,-81.9819444
11/6/06 16:20,naperville,il,180,41.7858333,-88.1472222
9/16/06 9:00,napa,ca,300,38.2972222,-122.2844444
5/23/00 20:15,tulsa,ok,150,36.1538889,-95.9925
7/9/10 17:20,olympia,wa,2,47.0380556,-122.8994444
4/1/07 20:30,zanesville,oh,180,39.9402778,-82.0133333
7/4/10 21:50,derby,ct,180,41.3205556,-73.0894444
35390,los angeles,ca,0,34.0522222,-118.2427778
2/18/14 1:40,fairmont,wv,300,39.485,-80.1427778
8/20/07 22:30,hartsville,sc,600,34.3738889,-80.0736111
3/6/09 23:00,spokane,wa,5,47.6588889,-117.425
5/18/05 21:45,phoenix,az,600,33.4483333,-112.0733333
12/19/13 20:00,santa paula,ca,1800,34.3541667,-119.0583333
3/26/99 22:37,erie,pa,4,42.1291667,-80.0852778
10/11/10 12:30,orangevale,ca,2700,38.6786111,-121.2247222
4/23/09 13:45,columbus,oh,600,39.9611111,-82.9988889
4/24/99 2:00,marion,nc,2700,35.6838889,-82.0094444
10/30/13 19:30,mechanicsville,va,60,37.6086111,-77.3736111
2/9/13 22:55,seattle,wa,300,47.6063889,-122.3308333
7/22/11 23:15,spokane valley,wa,600,47.6733333,-117.2383333
9/14/12 17:00,laguna niguel,ca,1200,33.5225,-117.7066667
6/20/12 12:42,bill,wy,3,43.2319444,-105.2597222
4/13/11 22:30,fort payne,al,1200,34.4441667,-85.7197222
1/13/99 7:15,rio rancho,nm,3,35.2333333,-106.6638889
6/13/04 20:15,los angeles,ca,900,34.0522222,-118.2427778
12/28/03 9:00,little rock,ar,10,34.7463889,-92.2894444
6/17/12 15:30,castle rock,co,120,39.3722222,-104.8555556
3/15/97 10:30,buena vista,co,600,38.8422222,-106.1305556
35008,brockton,ma,0,42.0833333,-71.0188889
7/19/00 23:30,boise,id,300,43.6136111,-116.2025
1/7/07 18:00,edgewater,fl,3600,28.9886111,-80.9025
12/29/02 14:00,las vegas (near),nv,300,36.175,-115.1363889
3/18/01 19:20,machesney park,il,600,42.3472222,-89.0388889
7/5/96 18:15,springfield,ma,40,42.1013889,-72.5902778
11/29/13 18:30,millersville,pa,10,39.9977778,-76.3544444
11/8/06 17:04,pagosa springs,co,0,37.2694444,-107.0091667
8/14/02 16:00,ojai,ca,15,34.4480556,-119.2419444
9/6/13 2:00,lincoln,ne,2700,40.8,-96.6666667
12/18/97 22:50,oxnard,ca,30,34.1975,-119.1761111
